,,,,,2018,2019,2020,2021
,,I. Nợ ngắn hạn(I. Short -term liabilities),,,4563002,3231907,4017861,2677318,
,,,1. Phải trả người bán ngắn hạn(1.  Short-term trade accounts payable),,680447,481588,690808,342677,
,,,2. Người mua trả tiền trước ngắn hạn(2. Short-term advances from customers),,156729,157183,95353,82799,
,,,3. Thuế và các khoản phải nộp Nhà nước(3. Taxes and other payables to state authorities),,309501,214710,192683,153579,
,,,4. Phải trả người lao động(4. Payable to employees),,385144,290766,222296,228337,
,,,5. Chi phí phải trả ngắn hạn(5. Short-term acrrued expenses),,69535,55520,45878,10834,
,,,6. Phải trả nội bộ ngắn hạn(6. Short-term inter-company payables),,0,0,0,0,
,,,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng(7. Construction contract progress payments due to suppliers),,0,0,0,0,
,,,8. Doanh thu chưa thực hiện ngắn hạn(8. Short-term unearned revenue),,0,0,0,0,
,,,9. Phải trả ngắn hạn khác(9. Other short-term payables),,83404,76979,69258,237630,
,,,10. Vay và nợ thuê tài chính ngắn hạn(10. Short-term borrowings and financial leases),,2721931,1839275,2610903,1558482,
,,,11. Dự phòng phải trả ngắn hạn(11. Provision for short-term liabilities),,30129,0,0,0,
,,,12. Quỹ khen thưởng. phúc lợi(12.. Bonus and welfare fund),,126182,115886,90683,62980,
,,,13. Quỹ bình ổn giá(13. Price stabilization fund),,0,0,0,0,
,,,14. Giao dịch mua bán lại trái phiếu Chính phủ(14. Government bonds),,0,0,0,0,
,,II. Nợ dài hạn (II. Long-term liabilities),,,43380,9377,7838,15504,
,,,1. Phải trả người bán dài hạn(1. Long-term trade payables),,0,0,0,0,
,,,2. Người mua trả tiền trước dài hạn(2. Long-term advances from customers),,0,0,0,0,
,,,3. Chi phí phải trả dài hạn(3. Long-term acrrued expenses),,0,0,0,0,
,,,4. Phải trả nội bộ về vốn kinh doanh(4. Inter-company payables on business capital),,0,0,0,0,
,,,5. Phải trả nội bộ dài hạn(5. Long-term inter-company payables),,0,0,0,0,
,,,6. Doanh thu chưa thực hiện dài hạn(6. Long-term unearned revenue),,0,0,0,0,
,,,7. Phải trả dài hạn khác(7. Other long-term liabilities),,519,526,476,628,
,,,8. Vay và nợ thuê tài chính dài hạn(8. Long-term borrowings and financial leases),,0,0,3700,7800,
,,,9. Trái phiếu chuyển đổi(9. Convertible bonds),,0,0,0,0,
,,,10. Cổ phiếu ưu đãi (Nợ)(10. Preferred stock (Debts)),,0,0,0,0,
,,,11. Thuế thu nhập hoãn lại phải trả(11. Deferred income tax liabilities),,0,0,0,0,
,,,12. Dự phòng phải trả dài hạn(12. Provision for long-term liabilities),,42861,8851,3662,7076,
,,,13. Quỹ phát triển khoa học và công nghệ(13. Fund for technology development),,0,0,0,0,
,,,14. Dự phòng trợ cấp mất việc làm(14. Provision for severance allowances),,0,0,0,0,
,B. VỐN CHỦ SỞ HỮU(B. OWNER'S EQUITY ),,,,6012634,5241862,4577266,3745073,
,,I. Vốn chủ sở hữu(I. Owner's equity),,,6012634,5241862,4577266,3745073,
,,,1. Vốn góp của chủ sở hữu(1. Owner's capital ),,2276124,2276124,2252936,1670030,
,,,,- Cổ phiếu phổ thông có quyền biểu quyết(- Common stock with voting right),2276124,2276124,2252936,1670030,
,,,,- Cổ phiếu ưu đãi(- Preferred stock),0,0,0,0,
,,,2. Thặng dư vốn cổ phần(2. Share premium),,991262,991262,968074,925398,
,,,3. Quyền chọn chuyển đổi trái phiếu(3. Convertible bond option),,0,0,0,0,
,,,4. Vốn khác của chủ sở hữu(4. Other capital of owners),,0,0,0,0,
,,,5. Cổ phiếu quỹ (*)(5. Treasury shares),,-4909,-3384,-2101,-7,
,,,6. Chênh lệch đánh giá lại tài sản(6. Assets revaluation differences),,0,0,0,0,
,,,7. Chênh lệch tỷ giá hối đoái(7. Foreign exchange differences),,0,0,0,0,
,,,8. Quỹ đầu tư phát triển(8. Investment and development fund),,800504,372780,313084,265088,
,,,9. Quỹ hỗ trợ sắp xếp doanh nghiệp(9. Fund to support corporate restructuring),,0,0,0,0,
,,,10. Quỹ khác thuộc vốn chủ sở hữu(10. Other funds from owner's equity),,0,0,0,0,
,,,11. Lợi nhuận sau thuế chưa phân phối(11. Undistributed earnings after tax),,1949654,1605081,1045273,884565,
,,,,- LNST chưa phân phối lũy kế đến cuối kỳ trước(- Accumulated retained earning at the end of the previous period),920612,670845,29482,98781,
,,,,- LNST chưa phân phối kỳ này(- Undistributed earnings in this period),1029042,934236,1015791,785785,
,,,12. Nguồn vốn đầu tư XDCB(12. Reserves for investment in construction),,0,0,0,0,
,,,13. Lợi ích cổ đông không kiểm soát(13. Minority's interest),,0,0,0,0,
,,,14. Quỹ dự phòng tài chính(14. Financial reserves),,0,0,0,0,
,,II. Nguồn kinh phí và quỹ khác(II. Other resources and funds ),,,0,0,0,0,
,,,1. Nguồn kinh phí(1. Subsidized not-for-profit funds),,0,0,0,0,
,,,2. Nguồn kinh phí đã hình thành TSCĐ(2. Funds invested in fixed assets),,0,0,0,0,
,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ(C. MINORITY'S INTEREST),,,,0,0,0,0,
TỔNG CỘNG NGUỒN VỐN(TOTAL OWNER'S EQUITY AND LIABILITIES ),,,,,10619017,8483146,8602964,6437896,
