,,,,,2010,2011,2012,2013
TÀI SẢN (ASSETS),,,,,0,0,0,0,
,A. TÀI SẢN NGẮN HẠN(A. SHORT-TERM ASSETS),,,,12402515,10220788,9485630,7866094,
,,I. Tiền và các khoản tương đương tiền(I. Cash and cash equivalents),,,2125322,1294494,1064384,1047177,
,,,1. Tiền(1. Cash),,282763,171268,251182,136132,
,,,2. Các khoản tương đương tiền(2. Cash equivalents),,1842559,1123226,813202,911046,
,,II.  Đầu tư tài chính ngắn hạn(II.  Short-term financial investments),,,387794,219952,0,290231,
,,,1. Chứng khoán kinh doanh(1. Available for sale securities),,387794,219952,0,290231,
,,,2. Dự phòng giảm giá chứng khoán kinh doanh (*)(2. Provision for diminution in value of available for sale securities (*)),,0,0,0,0,
,,,3. Đầu tư nắm giữ đến ngày đáo hạn(3. Held to maturity investments),,0,0,0,0,
,,III. Các khoản phải thu ngắn hạn(III. Short-term receivables),,,1629429,1646344,1897393,1832703,
,,,1. Phải thu ngắn hạn của khách hàng(1. Short-term trade accounts receivable),,1258518,1150509,1525540,1503995,
,,,2. Trả trước cho người bán ngắn hạn(2. Short-term prepayments to suppliers  ),,350774,381696,339013,278581,
,,,3. Phải thu nội bộ ngắn hạn(3. Short-term inter-company receivables),,0,0,0,0,
,,,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng(4. Construction contract progress receipts due from customers),,0,0,0,0,
,,,5. Phải thu về cho vay ngắn hạn(5. Short-term loan receivables),,0,0,0,0,
,,,6. Phải thu ngắn hạn khác(6. Other short-term receivables ),,34779,292729,45922,58870,
,,,7. Dự phòng phải thu ngắn hạn khó đòi (*)(7. Provision for short-term doubtful debts (*)),,-14643,-178590,-13082,-8743,
,,,8. Tài sản thiếu chờ xử lý(8. Assets awaiting resolution),,0,0,0,0,
,,IV. Hàng tồn kho(IV. Inventories),,,8029575,6822077,6347047,4540811,
,,,1. Hàng tồn kho(1. Inventories),,8064855,6847997,6423901,4549531,
,,,2. Dự phòng giảm giá hàng tồn kho (*)(2. Provision for decline in value of inventories ),,-35280,-25919,-76854,-8721,
,,V. Tài sản ngắn hạn khác(V. Other short-term assets),,,230395,237922,176806,155172,
,,,1. Chi phí trả trước ngắn hạn(1. Short-term prepayments),,42123,37413,59829,31937,
,,,2. Thuế GTGT được khấu trừ(2. Value added tax to be reclaimed),,127796,141403,76065,87040,
,,,3. Thuế và các khoản khác phải thu của nhà nước(3. Taxes and other receivables from state authorities),,34145,32413,15008,2552,
,,,4. Giao dịch mua bán lại trái phiếu chính phủ(4. Government bonds),,0,0,0,0,
,,,5. Tài sản ngắn hạn khác(5. Other short-term assets),,26332,26693,25904,33643,
,B. TÀI SẢN DÀI HẠN(B. LONG-TERM ASSETS ),,,,10673863,8794975,8039053,7037564,
,,I. Các khoản phải thu dài hạn(I. Long-term receivables),,,449759,448980,449009,449009,
,,,1. Phải thu dài hạn của khách hàng(1. Long-term trade receivables),,0,0,0,0,
,,,2. Trả trước cho người bán dài hạn(2. Long-term prepayments to suppliers  ),,0,0,0,0,
,,,3. Vốn kinh doanh ở các đơn vị trực thuộc(3. Capital at inter-company),,0,0,0,0,
,,,4.  Phải thu nội bộ dài hạn (4. Long-term inter-company receivables),,0,0,0,0,
,,,5. Phải thu về cho vay dài hạn(5. Long-term loan receivables),,0,0,0,0,
,,,6. Phải thu dài hạn khác(6. Other long-term receivables),,449759,448980,449009,449009,
,,,7. Dự phòng phải thu dài hạn khó đòi (*)(7. Provision for long-term doubtful debts),,0,0,0,0,
,,II. Tài sản cố định(II. Fixed assets),,,9187131,7007090,5919927,4603673,
,,,1. Tài sản cố định hữu hình(1. Tangible fixed assets),,8864496,4295768,4391699,3979295,
,,,,      - Nguyên giá(    - Cost),11747913,6529948,6051632,5109678,
,,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),-2883417,-2234181,-1659933,-1130383,
,,,2. Tài sản cố định thuê tài chính(2. Financial leased fixed assets),,0,0,9649,10663,
,,,,      - Nguyên giá(    - Cost),0,0,16488,16488,
,,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),0,0,-6840,-5826,
,,,3. Tài sản cố định vô hình(3. Intangible fixed assets),,189064,166217,164263,122793,
,,,,      - Nguyên giá(    - Cost),215917,188297,181890,135335,
,,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),-26853,-22080,-17627,-12542,
,,III. Bất động sản đầu tư(III. Investment properties),,,62002,66519,11108,15189,
,,,      - Nguyên giá(    - Cost),,88067,88067,29107,29107,
,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),,-26065,-21548,-17999,-13917,
,,IV. Tài sản dở dang dài hạn(IV. Long-term assets in progress),,,0,0,0,0,
,,,1. Chi phí sản xuất. kinh doanh dở dang dài hạn(1. Long-term production in progress),,0,0,0,0,
,,,2. Chi phí xây dựng cơ bản dở dang(2. Construction in progress),,133571,2545105,1354317,490922,
,,V. Đầu tư tài chính dài hạn(V. Long-term financial investments),,,21255,26218,272569,708793,
,,,1. Đầu tư vào công ty con(1. Investments in subsidiaries),,0,0,0,0,
,,,2. Đầu tư vào công ty liên kết. liên doanh(2. Investments in associates. joint-ventures),,5553,5809,183056,573651,
,,,3. Đầu tư góp vốn vào đơn vị khác(3. Investments in other entities),,0,0,0,0,
,,,4. Dự phòng đầu tư tài chính dài hạn (*)(4. Provision for diminution in value of long-term investments),,0,0,0,0,
,,,5. Đầu tư nắm giữ đến ngày đáo hạn(5. Held to maturity investments),,0,0,0,0,
,,,6. Đầu tư dài hạn khác(6. Other long-term investments),,15702,20409,89513,135142,
,,VI. Tài sản dài hạn khác(VI. Other long-term assets),,,380858,394091,432991,296959,
,,,1. Chi phí trả trước dài hạn(1. Long-term prepayments),,326429,327677,343591,224061,
,,,2. Tài sản thuế thu nhập hoãn lại(2. Deferred income tax assets),,54345,47988,70094,51313,
,,,3. Thiết bị. vật tư. phụ tùng thay thế dài hạn(3. Long-term equipment. supplies. spare parts),,0,0,0,0,
,,,4. Tài sản dài hạn khác(4. Other long-term assets),,85,18426,19305,21585,
,,VII. Lợi thế thương mại(VII. Goodwill),,,572857,852077,953449,963942,
TỔNG CỘNG TÀI SẢN(TOTAL ASSETS),,,,,23076378,19015763,17524683,14903658,
NGUỒN VỐN(OWNER'S EQUITY),,,,,0,0,0,0,
,A. NỢ PHẢI TRẢ(A.  LIABILITIES ),,,,13489418,10438206,9561052,8165669,
,,I. Nợ ngắn hạn(I. Short -term liabilities),,,11142521,7362009,6646566,6136482,
,,,1. Phải trả người bán ngắn hạn(1.  Short-term trade accounts payable),,2313957,1520632,941733,897907,
,,,2. Người mua trả tiền trước ngắn hạn(2. Short-term advances from customers),,79676,187595,39917,117419,
,,,3. Thuế và các khoản phải nộp Nhà nước(3. Taxes and other payables to state authorities),,387853,209933,245561,286653,
,,,4. Phải trả người lao động(4. Payable to employees),,122129,95436,49328,40567,
,,,5. Chi phí phải trả ngắn hạn(5. Short-term acrrued expenses),,345448,332805,328306,161534,
,,,6. Phải trả nội bộ ngắn hạn(6. Short-term inter-company payables),,0,0,0,0,
,,,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng(7. Construction contract progress payments due to suppliers),,0,0,0,0,
,,,8. Doanh thu chưa thực hiện ngắn hạn(8. Short-term unearned revenue),,0,0,0,0,
,,,9. Phải trả ngắn hạn khác(9. Other short-term payables),,2045822,105795,401189,509641,
,,,10. Vay và nợ thuê tài chính ngắn hạn(10. Short-term borrowings and financial leases),,5743560,4850249,4555166,4021625,
,,,11. Dự phòng phải trả ngắn hạn(11. Provision for short-term liabilities),,13213,11212,11578,14181,
,,,12. Quỹ khen thưởng. phúc lợi(12.. Bonus and welfare fund),,90864,48353,73789,86955,
,,,13. Quỹ bình ổn giá(13. Price stabilization fund),,0,0,0,0,
,,,14. Giao dịch mua bán lại trái phiếu Chính phủ(14. Government bonds),,0,0,0,0,
,,II. Nợ dài hạn (II. Long-term liabilities),,,2346896,3076196,2914486,2029187,
,,,1. Phải trả người bán dài hạn(1. Long-term trade payables),,0,0,0,0,
,,,2. Người mua trả tiền trước dài hạn(2. Long-term advances from customers),,0,0,0,0,
,,,3. Chi phí phải trả dài hạn(3. Long-term acrrued expenses),,0,0,0,0,
,,,4. Phải trả nội bộ về vốn kinh doanh(4. Inter-company payables on business capital),,0,0,0,0,
,,,5. Phải trả nội bộ dài hạn(5. Long-term inter-company payables),,0,0,0,0,
,,,6. Doanh thu chưa thực hiện dài hạn(6. Long-term unearned revenue),,0,0,0,0,
,,,7. Phải trả dài hạn khác(7. Other long-term liabilities),,514931,1620488,1014908,458093,
,,,8. Vay và nợ thuê tài chính dài hạn(8. Long-term borrowings and financial leases),,1831824,1455709,1869050,1544868,
,,,9. Trái phiếu chuyển đổi(9. Convertible bonds),,0,0,0,0,
,,,10. Cổ phiếu ưu đãi (Nợ)(10. Preferred stock (Debts)),,0,0,0,0,
,,,11. Thuế thu nhập hoãn lại phải trả(11. Deferred income tax liabilities),,142,0,2688,757,
,,,12. Dự phòng phải trả dài hạn(12. Provision for long-term liabilities),,0,0,0,0,
,,,13. Quỹ phát triển khoa học và công nghệ(13. Fund for technology development),,0,0,0,0,
,,,14. Dự phòng trợ cấp mất việc làm(14. Provision for severance allowances),,0,0,27840,25469,
,B. VỐN CHỦ SỞ HỮU(B. OWNER'S EQUITY ),,,,9500327,8085135,7413805,6398096,
,,I. Vốn chủ sở hữu(I. Owner's equity),,,9500327,8085135,7413805,6398096,
