,,,,,2018,2019,2020,2021
TỔNG CỘNG TÀI SẢN(TOTAL ASSETS),,,,,178236422,131511434,101776030,78223008,
NGUỒN VỐN(OWNER'S EQUITY),,,,,0,0,0,0,
,A. NỢ PHẢI TRẢ(A.  LIABILITIES ),,,,87455797,72291648,53989394,37600058,
,,I. Nợ ngắn hạn(I. Short -term liabilities),,,73459316,51975217,26984198,22636149,
,,,1. Phải trả người bán ngắn hạn(1.  Short-term trade accounts payable),,23729143,10915753,7507199,8706913,
,,,2. Người mua trả tiền trước ngắn hạn(2. Short-term advances from customers),,788003,1257273,408692,361444,
,,,3. Thuế và các khoản phải nộp Nhà nước(3. Taxes and other payables to state authorities),,796022,548579,478426,481510,
,,,4. Phải trả người lao động(4. Payable to employees),,816457,313100,247937,252288,
,,,5. Chi phí phải trả ngắn hạn(5. Short-term acrrued expenses),,772615,640130,429777,261634,
,,,6. Phải trả nội bộ ngắn hạn(6. Short-term inter-company payables),,0,0,0,0,
,,,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng(7. Construction contract progress payments due to suppliers),,0,0,0,0,
,,,8. Doanh thu chưa thực hiện ngắn hạn(8. Short-term unearned revenue),,16952,34564,27406,9930,
,,,9. Phải trả ngắn hạn khác(9. Other short-term payables),,1047159,328061,237392,300070,
,,,10. Vay và nợ thuê tài chính ngắn hạn(10. Short-term borrowings and financial leases),,43747643,36798466,16837653,11494717,
,,,11. Dự phòng phải trả ngắn hạn(11. Provision for short-term liabilities),,4756,5847,3111,6239,
,,,12. Quỹ khen thưởng. phúc lợi(12.. Bonus and welfare fund),,1740567,1133445,806604,761404,
,,,13. Quỹ bình ổn giá(13. Price stabilization fund),,0,0,0,0,
,,,14. Giao dịch mua bán lại trái phiếu Chính phủ(14. Government bonds),,0,0,0,0,
,,II. Nợ dài hạn (II. Long-term liabilities),,,13996481,20316431,27005196,14963908,
,,,1. Phải trả người bán dài hạn(1. Long-term trade payables),,0,2637988,6652492,1647092,
,,,2. Người mua trả tiền trước dài hạn(2. Long-term advances from customers),,0,0,0,0,
,,,3. Chi phí phải trả dài hạn(3. Long-term acrrued expenses),,410408,223664,427329,451101,
,,,4. Phải trả nội bộ về vốn kinh doanh(4. Inter-company payables on business capital),,0,0,0,0,
,,,5. Phải trả nội bộ dài hạn(5. Long-term inter-company payables),,0,0,0,0,
,,,6. Doanh thu chưa thực hiện dài hạn(6. Long-term unearned revenue),,8803,16128,3370,0,
,,,7. Phải trả dài hạn khác(7. Other long-term liabilities),,63027,68736,58387,36481,
,,,8. Vay và nợ thuê tài chính dài hạn(8. Long-term borrowings and financial leases),,13464932,17343248,19842099,12810997,
,,,9. Trái phiếu chuyển đổi(9. Convertible bonds),,0,0,0,0,
,,,10. Cổ phiếu ưu đãi (Nợ)(10. Preferred stock (Debts)),,0,0,0,0,
,,,11. Thuế thu nhập hoãn lại phải trả(11. Deferred income tax liabilities),,0,666,1105,0,
,,,12. Dự phòng phải trả dài hạn(12. Provision for long-term liabilities),,49311,26001,20414,18238,
,,,13. Quỹ phát triển khoa học và công nghệ(13. Fund for technology development),,0,0,0,0,
,,,14. Dự phòng trợ cấp mất việc làm(14. Provision for severance allowances),,0,0,0,0,
,B. VỐN CHỦ SỞ HỮU(B. OWNER'S EQUITY ),,,,90780626,59219786,47786636,40622950,
,,I. Vốn chủ sở hữu(I. Owner's equity),,,90780626,59219786,47786636,40622950,
,,,1. Vốn góp của chủ sở hữu(1. Owner's capital ),,44729227,33132827,27610741,21239072,
,,,,- Cổ phiếu phổ thông có quyền biểu quyết(- Common stock with voting right),44729227,33132827,27610741,21239072,
,,,,- Cổ phiếu ưu đãi(- Preferred stock),0,0,0,0,
,,,2. Thặng dư vốn cổ phần(2. Share premium),,3211560,3211560,3211560,3211560,
,,,3. Quyền chọn chuyển đổi trái phiếu(3. Convertible bond option),,0,0,0,0,
,,,4. Vốn khác của chủ sở hữu(4. Other capital of owners),,0,0,0,0,
,,,5. Cổ phiếu quỹ (*)(5. Treasury shares),,0,0,0,0,
,,,6. Chênh lệch đánh giá lại tài sản(6. Assets revaluation differences),,0,0,0,0,
,,,7. Chênh lệch tỷ giá hối đoái(7. Foreign exchange differences),,-1926,5568,566,277,
,,,8. Quỹ đầu tư phát triển(8. Investment and development fund),,923549,928642,923642,918642,
,,,9. Quỹ hỗ trợ sắp xếp doanh nghiệp(9. Fund to support corporate restructuring),,0,0,0,0,
,,,10. Quỹ khác thuộc vốn chủ sở hữu(10. Other funds from owner's equity),,0,0,0,0,
,,,11. Lợi nhuận sau thuế chưa phân phối(11. Undistributed earnings after tax),,41763426,21792443,15876914,15126438,
,,,,- LNST chưa phân phối lũy kế đến cuối kỳ trước(- Accumulated retained earning at the end of the previous period),7285283,8342143,8349471,6553424,
,,,,- LNST chưa phân phối kỳ này(- Undistributed earnings in this period),34478143,13450300,7527443,8573014,
,,,12. Nguồn vốn đầu tư XDCB(12. Reserves for investment in construction),,0,0,0,0,
,,,13. Lợi ích cổ đông không kiểm soát(13. Minority's interest),,154789,148747,163214,126961,
,,,14. Quỹ dự phòng tài chính(14. Financial reserves),,0,0,0,0,
,,II. Nguồn kinh phí và quỹ khác(II. Other resources and funds ),,,0,0,0,0,
,,,1. Nguồn kinh phí(1. Subsidized not-for-profit funds),,0,0,0,0,
,,,2. Nguồn kinh phí đã hình thành TSCĐ(2. Funds invested in fixed assets),,0,0,0,0,
,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ(C. MINORITY'S INTEREST),,,,0,0,0,0,
TỔNG CỘNG NGUỒN VỐN(TOTAL OWNER'S EQUITY AND LIABILITIES ),,,,,178236422,131511434,101776030,78223008,
